Commercial.Online.Year,resource_region,tech,cap
2010,1,wind-ons,6.0
2010,4,wind-ons,190.7
2010,5,wind-ons,50.0
2010,16,wind-ons,331.7
2010,20,wind-ons,101.2
2010,25,wind-ons,36.8
2010,26,wind-ons,1.5
2010,44,wind-ons,22.5
2010,46,wind-ons,58.8
2010,47,wind-ons,124.5
2010,54,wind-ons,65.1
2010,74,wind-ons,311.0
2010,82,wind-ons,3.8
2010,84,wind-ons,1.8
2010,86,wind-ons,51.0
2010,89,wind-ons,102.4
2010,98,wind-ons,19.5
2010,100,wind-ons,139.2
2010,102,wind-ons,62.4
2010,112,wind-ons,309.0
2010,119,wind-ons,60.0
2010,121,wind-ons,20.0
2010,123,wind-ons,204.5
2010,136,wind-ons,60.5
2010,144,wind-ons,150.0
2010,149,wind-ons,7.5
2010,150,wind-ons,20.0
2010,153,wind-ons,251.0
2010,156,wind-ons,99.2
2010,172,wind-ons,150.0
2010,174,wind-ons,401.1
2010,176,wind-ons,148.8
2010,178,wind-ons,3.0
2010,180,wind-ons,3.0
2010,197,wind-ons,20.0
2010,207,wind-ons,500.0
2010,221,wind-ons,301.2
2010,226,wind-ons,2.0
2010,249,wind-ons,100.5
2010,253,wind-ons,70.0
2010,318,wind-ons,2.0
2010,347,wind-ons,3.0
2010,349,wind-ons,1.7
2010,355,wind-ons,66.0
2010,356,wind-ons,25.5
2011,5,wind-ons,201.2
2011,16,wind-ons,201.0
2011,19,wind-ons,3.0
2011,25,wind-ons,182.2
2011,26,wind-ons,2.0
2011,30,wind-ons,720.0
2011,33,wind-ons,50.5
2011,44,wind-ons,22.4
2011,46,wind-ons,244.5
2011,48,wind-ons,102.0
2011,53,wind-ons,10.0
2011,82,wind-ons,5.0
2011,85,wind-ons,248.3
2011,86,wind-ons,252.0
2011,90,wind-ons,50.4
2011,110,wind-ons,162.0
2011,116,wind-ons,3.0
2011,118,wind-ons,120.4
2011,121,wind-ons,20.6
2011,123,wind-ons,61.7
2011,124,wind-ons,20.0
2011,127,wind-ons,2.5
2011,128,wind-ons,49.6
2011,132,wind-ons,33.1
2011,134,wind-ons,100.0
2011,141,wind-ons,200.0
2011,150,wind-ons,80.3
2011,153,wind-ons,130.0
2011,154,wind-ons,100.0
2011,156,wind-ons,100.8
2011,163,wind-ons,145.0
2011,165,wind-ons,10.0
2011,167,wind-ons,225.0
2011,176,wind-ons,406.8
2011,177,wind-ons,3.1
2011,178,wind-ons,119.6
2011,180,wind-ons,443.9
2011,181,wind-ons,1.5
2011,182,wind-ons,40.8
2011,193,wind-ons,28.0
2011,200,wind-ons,240.0
2011,202,wind-ons,1.5
2011,208,wind-ons,150.0
2011,209,wind-ons,300.8
2011,215,wind-ons,102.0
2011,218,wind-ons,90.0
2011,228,wind-ons,401.0
2011,234,wind-ons,2.5
2011,249,wind-ons,97.6
2011,250,wind-ons,55.2
2011,253,wind-ons,50.0
2011,322,wind-ons,38.0
2011,326,wind-ons,3.2
2011,335,wind-ons,51.3
2011,337,wind-ons,74.0
2011,347,wind-ons,18.4
2011,348,wind-ons,3.1
2011,349,wind-ons,3.0
2011,351,wind-ons,40.0
2011,355,wind-ons,20.0
2011,356,wind-ons,60.0
2012,4,wind-ons,4.3
2012,8,wind-ons,105.3
2012,9,wind-ons,342.7
2012,16,wind-ons,845.0
2012,20,wind-ons,1.0
2012,22,wind-ons,1.0
2012,25,wind-ons,309.7
2012,30,wind-ons,1313.0
2012,33,wind-ons,331.80000000000007
2012,36,wind-ons,150.0
2012,44,wind-ons,178.0
2012,47,wind-ons,173.4
2012,54,wind-ons,99.2
2012,64,wind-ons,184.6
2012,66,wind-ons,60.0
2012,67,wind-ons,9.6
2012,85,wind-ons,67.2
2012,86,wind-ons,400.0
2012,87,wind-ons,29.0
2012,100,wind-ons,255.0
2012,116,wind-ons,79.9
2012,118,wind-ons,40.0
2012,123,wind-ons,230.0
2012,132,wind-ons,179.0
2012,133,wind-ons,34.9
2012,136,wind-ons,775.4
2012,138,wind-ons,201.0
2012,139,wind-ons,470.4
2012,148,wind-ons,27.3
2012,149,wind-ons,61.2
2012,150,wind-ons,260.6
2012,152,wind-ons,120.0
2012,153,wind-ons,359.0
2012,154,wind-ons,249.60000000000002
2012,155,wind-ons,295.0
2012,156,wind-ons,298.5
2012,165,wind-ons,265.9
2012,166,wind-ons,99.8
2012,167,wind-ons,300.0
2012,172,wind-ons,92.0
2012,174,wind-ons,613.6
2012,176,wind-ons,36.0
2012,178,wind-ons,105.6
2012,180,wind-ons,368.8000000000001
2012,182,wind-ons,0.7
2012,183,wind-ons,5.9
2012,191,wind-ons,28.0
2012,194,wind-ons,4.8
2012,199,wind-ons,109.5
2012,200,wind-ons,281.0
2012,203,wind-ons,192.3
2012,209,wind-ons,200.0
2012,212,wind-ons,22.0
2012,215,wind-ons,192.0
2012,218,wind-ons,289.4
2012,226,wind-ons,200.0
2012,228,wind-ons,4.5
2012,234,wind-ons,1.0
2012,252,wind-ons,50.4
2012,322,wind-ons,292.6
2012,323,wind-ons,69.0
2012,324,wind-ons,142.6
2012,329,wind-ons,0.1
2012,333,wind-ons,15.0
2012,335,wind-ons,7.5
2012,338,wind-ons,215.0
2012,345,wind-ons,1.5
2012,347,wind-ons,28.5
2012,348,wind-ons,14.0
2012,350,wind-ons,10.0
2012,351,wind-ons,65.0
2012,353,wind-ons,147.0
2012,355,wind-ons,50.6
2012,356,wind-ons,34.5
2013,85,wind-ons,23.8
2013,87,wind-ons,8.0
2013,117,wind-ons,74.8
2013,136,wind-ons,249.8
2013,137,wind-ons,4.0
2013,169,wind-ons,150.0
2013,178,wind-ons,44.6
2013,218,wind-ons,175.1
2013,228,wind-ons,7.9
2013,333,wind-ons,94.4
2013,347,wind-ons,3.4
2014,9,wind-ons,266.8
2014,25,wind-ons,1.6
2014,29,wind-ons,2.0
2014,30,wind-ons,229.8
2014,32,wind-ons,1.0
2014,64,wind-ons,10.0
2014,66,wind-ons,9.7
2014,85,wind-ons,62.6
2014,86,wind-ons,200.6
2014,109,wind-ons,19.5
2014,116,wind-ons,75.0
2014,118,wind-ons,206.5
2014,120,wind-ons,50.0
2014,132,wind-ons,251.0
2014,133,wind-ons,140.8
2014,148,wind-ons,34.8
2014,150,wind-ons,1511.3000000000002
2014,153,wind-ons,496.6
2014,154,wind-ons,150.0
2014,165,wind-ons,211.0
2014,167,wind-ons,67.6
2014,174,wind-ons,188.0
2014,179,wind-ons,119.6
2014,215,wind-ons,50.4
2014,218,wind-ons,223.9
2014,226,wind-ons,200.0
2014,253,wind-ons,40.0
2014,335,wind-ons,16.2
2014,349,wind-ons,3.4
2014,355,wind-ons,8.5
2015,25,wind-ons,85.9
2015,30,wind-ons,200.5
2015,59,wind-ons,30.0
2015,83,wind-ons,250.0
2015,86,wind-ons,150.0
2015,98,wind-ons,107.5
2015,99,wind-ons,148.0
2015,100,wind-ons,205.0
2015,109,wind-ons,97.8
2015,111,wind-ons,80.0
2015,118,wind-ons,80.2
2015,132,wind-ons,459.40000000000003
2015,134,wind-ons,20.7
2015,136,wind-ons,249.3
2015,137,wind-ons,205.7
2015,139,wind-ons,150.0
2015,148,wind-ons,250.0
2015,149,wind-ons,200.0
2015,150,wind-ons,645.8
2015,152,wind-ons,499.7
2015,154,wind-ons,174.0
2015,155,wind-ons,397.8
2015,157,wind-ons,150.4
2015,164,wind-ons,207.2
2015,165,wind-ons,1046.2
2015,167,wind-ons,514.1
2015,172,wind-ons,637.7
2015,174,wind-ons,165.0
2015,176,wind-ons,200.0
2015,180,wind-ons,105.10000000000001
2015,207,wind-ons,175.0
2015,209,wind-ons,98.0
2015,228,wind-ons,7.5
2015,253,wind-ons,30.0
2015,343,wind-ons,1.1
2015,355,wind-ons,173.7
2016,16,wind-ons,10.0
2016,48,wind-ons,1.7
2016,52,wind-ons,62.1
2016,64,wind-ons,25.0
2016,74,wind-ons,80.0
2016,87,wind-ons,60.8
2016,98,wind-ons,300.0
2016,100,wind-ons,104.0
2016,102,wind-ons,195.0
2016,116,wind-ons,400.0
2016,117,wind-ons,1.7
2016,118,wind-ons,35.8
2016,124,wind-ons,78.0
2016,132,wind-ons,518.9
2016,136,wind-ons,608.3
2016,140,wind-ons,73.8
2016,143,wind-ons,199.0
2016,144,wind-ons,195.8
2016,148,wind-ons,50.0
2016,149,wind-ons,530.4
2016,150,wind-ons,374.0
2016,152,wind-ons,198.0
2016,153,wind-ons,225.0
2016,154,wind-ons,249.9
2016,155,wind-ons,563.8
2016,156,wind-ons,406.0
2016,165,wind-ons,837.0
2016,168,wind-ons,125.6
2016,172,wind-ons,650.0
2016,176,wind-ons,213.0
2016,178,wind-ons,3.0
2016,180,wind-ons,51.6
2016,209,wind-ons,184.0
2016,218,wind-ons,79.4
2016,221,wind-ons,150.0
2016,228,wind-ons,102.3
2016,250,wind-ons,103.0
2016,294,wind-ons,208.0
2016,322,wind-ons,39.9
2016,338,wind-ons,77.7
2016,345,wind-ofs,29.3
2016,345,wind-ons,13.5
2016,346,wind-ons,1.5
2016,348,wind-ons,7.9
2016,353,wind-ons,12.1
2016,355,wind-ons,186.0
2016,356,wind-ons,100.0
2017,19,wind-ons,50.0
2017,25,wind-ons,46.0
2017,29,wind-ons,1.9
2017,31,wind-ons,1.9
2017,32,wind-ons,143.0
2017,67,wind-ons,25.0
2017,87,wind-ons,75.0
2017,92,wind-ons,298.0
2017,97,wind-ons,150.0
2017,100,wind-ons,99.3
2017,117,wind-ons,89.7
2017,119,wind-ons,40.9
2017,123,wind-ons,200.0
2017,136,wind-ons,658.2
2017,144,wind-ons,300.0
2017,148,wind-ons,354.19999999999993
2017,149,wind-ons,564.5
2017,150,wind-ons,439.0
2017,155,wind-ons,452.3
2017,156,wind-ons,398.4
2017,165,wind-ons,658.4
2017,166,wind-ons,149.3
2017,167,wind-ons,100.5
2017,174,wind-ons,559.3
2017,178,wind-ons,24.0
2017,179,wind-ons,168.0
2017,180,wind-ons,170.0
2017,194,wind-ons,98.0
2017,208,wind-ons,278.0
2017,218,wind-ons,249.0
2017,221,wind-ons,100.0
2017,226,wind-ons,119.7
2017,228,wind-ons,177.0
2017,345,wind-ons,1.5
2017,352,wind-ons,30.0
2017,355,wind-ons,22.8
2018,5,wind-ons,60.0
2018,29,wind-ons,5.4
2018,30,wind-ons,174.7
2018,33,wind-ons,41.9
2018,67,wind-ons,80.0
2018,85,wind-ons,30.0
2018,86,wind-ons,85.8
2018,92,wind-ons,400.0
2018,93,wind-ons,180.0
2018,98,wind-ons,48.0
2018,99,wind-ons,100.0
2018,114,wind-ons,30.0
2018,118,wind-ons,202.5
2018,121,wind-ons,40.0
2018,122,wind-ons,44.6
2018,133,wind-ons,90.8
2018,134,wind-ons,103.5
2018,136,wind-ons,243.5
2018,148,wind-ons,50.9
2018,149,wind-ons,830.0
2018,150,wind-ons,1088.0
2018,153,wind-ons,198.6
2018,155,wind-ons,523.8
2018,156,wind-ons,130.0
2018,164,wind-ons,660.0
2018,165,wind-ons,80.0
2018,166,wind-ons,150.0
2018,169,wind-ons,360.0
2018,174,wind-ons,201.0
2018,177,wind-ons,266.1
2018,178,wind-ons,200.0
2018,180,wind-ons,522.0
2018,200,wind-ons,331.0
2018,218,wind-ons,44.0
2018,221,wind-ons,200.4
2018,228,wind-ons,3.0
2018,333,wind-ons,78.4
2018,337,wind-ons,79.9
2019,30,wind-ons,131.1
2019,101,wind-ons,150.0
2019,112,wind-ons,98.0
2019,118,wind-ons,478.1
2019,123,wind-ons,100.0
2019,132,wind-ons,301.1
2019,135,wind-ons,275.6
2019,138,wind-ons,299.3
2019,143,wind-ons,199.3
2019,148,wind-ons,220.5
2019,149,wind-ons,478.0
2019,165,wind-ons,824.2
2019,166,wind-ons,801.9
2019,172,wind-ons,537.6
2019,174,wind-ons,389.0
2019,178,wind-ons,169.9
2019,199,wind-ons,212.0
2019,203,wind-ons,185.0
2019,214,wind-ons,161.3
2019,218,wind-ons,146.1
2019,249,wind-ons,56.2
2019,255,wind-ons,90.0
2019,347,wind-ons,4.6
2019,354,wind-ons,28.4
2020,66,wind-ons,80.0
2020,133,wind-ons,70.0
2020,135,wind-ons,195.8
2020,152,wind-ons,300.0
2020,154,wind-ons,304.0
2020,158,wind-ons,300.0
2020,174,wind-ons,142.6
2024,74,wind-ons,500.0
