tech,coolingwatertech,pca,ctt,wst,cap
gas-CC,gas-CC_r_ww,p79,r,ww,1477.8000000000002
gas-CC,gas-CC_r_ww,p80,r,ww,1337.7
gas-CC,gas-CC_r_ww,p81,r,ww,1032.2
gas-CC,gas-CC_r_ww,p83,r,ww,624.3
gas-CC,gas-CC_r_ww,p84,r,ww,425.0
gas-CC,gas-CC_r_ww,p85,r,ww,4441.400000000001
gas-CC,gas-CC_r_ww,p86,r,ww,1312.2
gas-CC,gas-CC_r_ww,p87,r,ww,3829.499999999999
gas-CC,gas-CC_r_ww,p88,r,ww,3174.0
gas-CC,gas-CC_r_ww,p89,r,ww,1474.0
gas-CC,gas-CC_r_ww,p9,r,ww,6759.800000000002
gas-CC,gas-CC_r_ww,p90,r,ww,7417.100000000003
gas-CC,gas-CC_r_ww,p91,r,ww,747.0
gas-CC,gas-CC_r_ww,p94,r,ww,5519.000000000001
gas-CC,gas-CC_r_ww,p95,r,ww,546.0
gas-CC,gas-CC_r_ww,p96,r,ww,1853.0
gas-CC,gas-CC_r_ww,p97,r,ww,499.0
gas-CC,gas-CC_r_ww,p98,r,ww,826.0
gas-CC,gas-CC_r_ww,p99,r,ww,3150.1
gas-CT,gas-CT,p1,n,ww,670.7
gas-CT,gas-CT,p10,n,ww,3405.999999999999
gas-CT,gas-CT,p101,n,ww,5568.4
gas-CT,gas-CT,p102,n,ww,1205.1999999999996
gas-CT,gas-CT,p103,n,ww,3827.7000000000003
gas-CT,gas-CT,p104,n,ww,78.8
gas-CT,gas-CT,p105,n,ww,1434.1
gas-CT,gas-CT,p106,n,ww,604.0
gas-CT,gas-CT,p107,n,ww,1311.7999999999997
gas-CT,gas-CT,p108,n,ww,58.0
gas-CT,gas-CT,p109,n,ww,3214.9
gas-CT,gas-CT,p11,n,ww,403.1
gas-CT,gas-CT,p110,n,ww,825.0
gas-CT,gas-CT,p111,n,ww,1474.1999999999996
gas-CT,gas-CT,p112,n,ww,2546.7000000000035
gas-CT,gas-CT,p113,n,ww,780.8
gas-CT,gas-CT,p114,n,ww,1310.9
gas-CT,gas-CT,p115,n,ww,878.3
gas-CT,gas-CT,p116,n,ww,354.4
gas-CT,gas-CT,p117,n,ww,750.0
gas-CT,gas-CT,p118,n,ww,337.1
gas-CT,gas-CT,p12,n,ww,243.20000000000007
gas-CT,gas-CT,p120,n,ww,118.29999999999998
gas-CT,gas-CT,p122,n,ww,2237.999999999999
gas-CT,gas-CT,p123,n,ww,2219.8
gas-CT,gas-CT,p124,n,ww,378.49999999999994
gas-CT,gas-CT,p125,n,ww,381.3
gas-CT,gas-CT,p126,n,ww,2033.0
gas-CT,gas-CT,p127,n,ww,2818.300000000001
gas-CT,gas-CT,p128,n,ww,2085.8
gas-CT,gas-CT,p129,n,ww,97.89999999999999
gas-CT,gas-CT,p13,n,ww,1053.0
gas-CT,gas-CT,p130,n,ww,87.0
gas-CT,gas-CT,p131,n,ww,845.2999999999995
gas-CT,gas-CT,p132,n,ww,1002.8000000000002
gas-CT,gas-CT,p133,n,ww,10.200000000000001
gas-CT,gas-CT,p134,n,ww,338.3
gas-CT,gas-CT,p14,n,ww,132.0
gas-CT,gas-CT,p15,n,ww,420.79999999999995
gas-CT,gas-CT,p17,n,ww,54.0
gas-CT,gas-CT,p21,n,ww,8.3
gas-CT,gas-CT,p22,n,ww,15.0
gas-CT,gas-CT,p23,n,ww,98.0
gas-CT,gas-CT,p25,n,ww,501.80000000000007
gas-CT,gas-CT,p26,n,ww,9.9
gas-CT,gas-CT,p27,n,ww,90.0
gas-CT,gas-CT,p28,n,ww,1567.5
gas-CT,gas-CT,p3,n,ww,76.79999999999998
gas-CT,gas-CT,p30,n,ww,278.3
gas-CT,gas-CT,p31,n,ww,535.5
gas-CT,gas-CT,p32,n,ww,112.0
gas-CT,gas-CT,p33,n,ww,2097.8
gas-CT,gas-CT,p34,n,ww,618.6
gas-CT,gas-CT,p35,n,ww,98.5
gas-CT,gas-CT,p37,n,ww,53.199999999999996
gas-CT,gas-CT,p38,n,ww,763.3
gas-CT,gas-CT,p39,n,ww,12.7
gas-CT,gas-CT,p40,n,ww,309.19999999999993
gas-CT,gas-CT,p41,n,ww,1276.5000000000002
gas-CT,gas-CT,p42,n,ww,63.099999999999994
gas-CT,gas-CT,p43,n,ww,1941.3999999999994
gas-CT,gas-CT,p44,n,ww,57.50000000000001
gas-CT,gas-CT,p45,n,ww,457.9
gas-CT,gas-CT,p46,n,ww,383.8000000000002
gas-CT,gas-CT,p47,n,ww,280.0
gas-CT,gas-CT,p48,n,ww,601.1
gas-CT,gas-CT,p5,n,ww,33.8
gas-CT,gas-CT,p50,n,ww,1123.0
gas-CT,gas-CT,p51,n,ww,179.9
gas-CT,gas-CT,p52,n,ww,194.20000000000002
gas-CT,gas-CT,p53,n,ww,2779.4000000000005
gas-CT,gas-CT,p54,n,ww,2060.6000000000004
gas-CT,gas-CT,p55,n,ww,779.1
gas-CT,gas-CT,p56,n,ww,294.0
gas-CT,gas-CT,p58,n,ww,1824.0
gas-CT,gas-CT,p59,n,ww,64.0
gas-CT,gas-CT,p6,n,ww,100.0
gas-CT,gas-CT,p60,n,ww,402.0
gas-CT,gas-CT,p61,n,ww,6.9
gas-CT,gas-CT,p62,n,ww,321.0
gas-CT,gas-CT,p63,n,ww,579.0
gas-CT,gas-CT,p64,n,ww,476.6
gas-CT,gas-CT,p65,n,ww,647.1
gas-CT,gas-CT,p66,n,ww,1055.8999999999999
gas-CT,gas-CT,p67,n,ww,1997.0
gas-CT,gas-CT,p68,n,ww,1105.8
gas-CT,gas-CT,p69,n,ww,380.9999999999999
gas-CT,gas-CT,p70,n,ww,1247.299999999999
gas-CT,gas-CT,p71,n,ww,60.699999999999996
gas-CT,gas-CT,p72,n,ww,1357.7999999999993
gas-CT,gas-CT,p74,n,ww,54.4
gas-CT,gas-CT,p75,n,ww,555.4
gas-CT,gas-CT,p76,n,ww,707.3000000000001
gas-CT,gas-CT,p77,n,ww,16.8
gas-CT,gas-CT,p78,n,ww,550.7999999999998
gas-CT,gas-CT,p79,n,ww,1307.7999999999997
gas-CT,gas-CT,p80,n,ww,7550.799999999998
gas-CT,gas-CT,p81,n,ww,1841.1000000000006
gas-CT,gas-CT,p82,n,ww,149.09999999999997
gas-CT,gas-CT,p83,n,ww,1566.6999999999985
gas-CT,gas-CT,p84,n,ww,228.60000000000002
gas-CT,gas-CT,p85,n,ww,373.80000000000007
gas-CT,gas-CT,p86,n,ww,286.5
gas-CT,gas-CT,p87,n,ww,1017.9999999999998
gas-CT,gas-CT,p88,n,ww,293.2
gas-CT,gas-CT,p89,n,ww,1122.8000000000004
gas-CT,gas-CT,p9,n,ww,2837.2999999999975
gas-CT,gas-CT,p90,n,ww,1177.0
gas-CT,gas-CT,p91,n,ww,126.0
gas-CT,gas-CT,p92,n,ww,3796.0000000000027
gas-CT,gas-CT,p93,n,ww,604.6
gas-CT,gas-CT,p94,n,ww,8639.199999999999
gas-CT,gas-CT,p95,n,ww,2050.5999999999995
gas-CT,gas-CT,p96,n,ww,1128.4
gas-CT,gas-CT,p97,n,ww,3264.799999999999
gas-CT,gas-CT,p98,n,ww,2098.5
gas-CT,gas-CT,p99,n,ww,3905.399999999997
geothermal,geothermal,p10,n,fsa,818.6999999999998
geothermal,geothermal,p12,n,fsa,282.8
geothermal,geothermal,p16,n,fsa,10.0
geothermal,geothermal,p25,n,fsa,34.0
geothermal,geothermal,p8,n,fsa,2.2
geothermal,geothermal,p9,n,fsa,859.0
lfill-gas,lfill-gas_r_ww,p1,r,ww,5.399999999999999
lfill-gas,lfill-gas_r_ww,p10,r,ww,107.0
lfill-gas,lfill-gas_r_ww,p101,r,ww,230.09999999999997
lfill-gas,lfill-gas_r_ww,p102,r,ww,196.09999999999997
lfill-gas,lfill-gas_r_ww,p103,r,ww,172.09999999999988
lfill-gas,lfill-gas_r_ww,p104,r,ww,4.6
lfill-gas,lfill-gas_r_ww,p105,r,ww,28.800000000000015
lfill-gas,lfill-gas_r_ww,p106,r,ww,5.0
lfill-gas,lfill-gas_r_ww,p107,r,ww,2.2
lfill-gas,lfill-gas_r_ww,p109,r,ww,15.200000000000005
lfill-gas,lfill-gas_r_ww,p11,r,ww,19.0
lfill-gas,lfill-gas_r_ww,p111,r,ww,32.19999999999999
lfill-gas,lfill-gas_r_ww,p112,r,ww,4.800000000000001
lfill-gas,lfill-gas_r_ww,p115,r,ww,4.8
lfill-gas,lfill-gas_r_ww,p120,r,ww,14.400000000000013
lfill-gas,lfill-gas_r_ww,p122,r,ww,307.2000000000004
lfill-gas,lfill-gas_r_ww,p123,r,ww,132.40000000000012
lfill-gas,lfill-gas_r_ww,p125,r,ww,7.0
lfill-gas,lfill-gas_r_ww,p126,r,ww,190.50000000000009
lfill-gas,lfill-gas_r_ww,p127,r,ww,227.5000000000004
lfill-gas,lfill-gas_r_ww,p128,r,ww,121.7
lfill-gas,lfill-gas_r_ww,p129,r,ww,9.1
lfill-gas,lfill-gas_r_ww,p130,r,ww,29.6
lfill-gas,lfill-gas_r_ww,p131,r,ww,256.00000000000006
lfill-gas,lfill-gas_r_ww,p132,r,ww,164.20000000000005
lfill-gas,lfill-gas_r_ww,p133,r,ww,6.0
lfill-gas,lfill-gas_r_ww,p134,r,ww,41.4
lfill-gas,lfill-gas_r_ww,p15,r,ww,3.0
lfill-gas,lfill-gas_r_ww,p2,r,ww,10.5
lfill-gas,lfill-gas_r_ww,p25,r,ww,9.799999999999999
lfill-gas,lfill-gas_r_ww,p3,r,ww,22.8
lfill-gas,lfill-gas_r_ww,p31,r,ww,3.2
lfill-gas,lfill-gas_r_ww,p33,r,ww,3.2
lfill-gas,lfill-gas_r_ww,p41,r,ww,6.3999999999999995
lfill-gas,lfill-gas_r_ww,p43,r,ww,70.49999999999997
lfill-gas,lfill-gas_r_ww,p45,r,ww,4.8
lfill-gas,lfill-gas_r_ww,p46,r,ww,4.0
lfill-gas,lfill-gas_r_ww,p5,r,ww,31.400000000000013
lfill-gas,lfill-gas_r_ww,p51,r,ww,15.600000000000001
lfill-gas,lfill-gas_r_ww,p55,r,ww,3.0
lfill-gas,lfill-gas_r_ww,p6,r,ww,3.0
lfill-gas,lfill-gas_r_ww,p63,r,ww,20.200000000000003
lfill-gas,lfill-gas_r_ww,p64,r,ww,6.4
lfill-gas,lfill-gas_r_ww,p65,r,ww,18.0
lfill-gas,lfill-gas_r_ww,p66,r,ww,5.1
lfill-gas,lfill-gas_r_ww,p68,r,ww,18.0
lfill-gas,lfill-gas_r_ww,p70,r,ww,6.3999999999999995
lfill-gas,lfill-gas_r_ww,p72,r,ww,4.7
lfill-gas,lfill-gas_r_ww,p75,r,ww,8.799999999999999
lfill-gas,lfill-gas_r_ww,p76,r,ww,9.1
lfill-gas,lfill-gas_r_ww,p78,r,ww,7.0
lfill-gas,lfill-gas_r_ww,p79,r,ww,33.00000000000001
lfill-gas,lfill-gas_r_ww,p80,r,ww,42.39999999999999
lfill-gas,lfill-gas_r_ww,p82,r,ww,2.4000000000000004
lfill-gas,lfill-gas_r_ww,p83,r,ww,6.4
lfill-gas,lfill-gas_r_ww,p85,r,ww,4.8
lfill-gas,lfill-gas_r_ww,p9,r,ww,80.29999999999998
lfill-gas,lfill-gas_r_ww,p91,r,ww,14.800000000000004
lfill-gas,lfill-gas_r_ww,p92,r,ww,3.2
lfill-gas,lfill-gas_r_ww,p94,r,ww,13.600000000000001
lfill-gas,lfill-gas_r_ww,p95,r,ww,16.0
lfill-gas,lfill-gas_r_ww,p96,r,ww,19.100000000000005
lfill-gas,lfill-gas_r_ww,p97,r,ww,10.399999999999999
lfill-gas,lfill-gas_r_ww,p98,r,ww,3.599999999999999
lfill-gas,lfill-gas_r_ww,p99,r,ww,269.800000000003
nuclear,nuclear_r_ww,p102,r,ww,3626.0
nuclear,nuclear_r_ww,p103,r,ww,1141.0
nuclear,nuclear_r_ww,p104,r,ww,2177.0
nuclear,nuclear_r_ww,p111,r,ww,2134.0
nuclear,nuclear_r_ww,p115,r,ww,1808.0
nuclear,nuclear_r_ww,p122,r,ww,7186.199999999999
nuclear,nuclear_r_ww,p123,r,ww,1725.8
nuclear,nuclear_r_ww,p126,r,ww,3500.2
nuclear,nuclear_r_ww,p127,r,ww,3346.7
nuclear,nuclear_r_ww,p130,r,ww,1251.4
nuclear,nuclear_r_ww,p132,r,ww,2073.1
nuclear,nuclear_r_ww,p2,r,ww,1163.0
nuclear,nuclear_r_ww,p28,r,ww,3937.0
nuclear,nuclear_r_ww,p41,r,ww,770.0
nuclear,nuclear_r_ww,p43,r,ww,1657.0
nuclear,nuclear_r_ww,p53,r,ww,1225.0
nuclear,nuclear_r_ww,p58,r,ww,2132.9
nuclear,nuclear_r_ww,p63,r,ww,2400.0
nuclear,nuclear_r_ww,p65,r,ww,2560.0
nuclear,nuclear_r_ww,p72,r,ww,1190.0
nuclear,nuclear_r_ww,p75,r,ww,1195.8
nuclear,nuclear_r_ww,p80,r,ww,8698.4
nuclear,nuclear_r_ww,p81,r,ww,1819.0
nuclear,nuclear_r_ww,p83,r,ww,1065.0
nuclear,nuclear_r_ww,p85,r,ww,1817.8
nuclear,nuclear_r_ww,p87,r,ww,1401.0
nuclear,nuclear_r_ww,p89,r,ww,3774.4
nuclear,nuclear_r_ww,p9,r,ww,2240.0
nuclear,nuclear_r_ww,p90,r,ww,1828.0
nuclear,nuclear_r_ww,p92,r,ww,3400.7
nuclear,nuclear_r_ww,p94,r,ww,4061.0
nuclear,nuclear_r_ww,p95,r,ww,4864.2
nuclear,nuclear_r_ww,p96,r,ww,1712.0
nuclear,nuclear_r_ww,p97,r,ww,2315.6
nuclear,nuclear_r_ww,p98,r,ww,2838.0
nuclear,nuclear_r_ww,p99,r,ww,3568.0
o-g-s,o-g-s_r_ww,p10,r,ww,2452.0
o-g-s,o-g-s_r_ww,p101,r,ww,1633.0
o-g-s,o-g-s_r_ww,p102,r,ww,26.0
o-g-s,o-g-s_r_ww,p103,r,ww,2115.5
o-g-s,o-g-s_r_ww,p105,r,ww,29.4
o-g-s,o-g-s_r_ww,p106,r,ww,624.48
o-g-s,o-g-s_r_ww,p110,r,ww,260.0
o-g-s,o-g-s_r_ww,p114,r,ww,111.0
o-g-s,o-g-s_r_ww,p118,r,ww,462.5
o-g-s,o-g-s_r_ww,p12,r,ww,221.0
o-g-s,o-g-s_r_ww,p122,r,ww,4459.9
o-g-s,o-g-s_r_ww,p123,r,ww,1842.0
o-g-s,o-g-s_r_ww,p125,r,ww,813.0
o-g-s,o-g-s_r_ww,p127,r,ww,8513.920000000002
o-g-s,o-g-s_r_ww,p128,r,ww,2347.0
o-g-s,o-g-s_r_ww,p130,r,ww,400.0
o-g-s,o-g-s_r_ww,p131,r,ww,1805.8
o-g-s,o-g-s_r_ww,p132,r,ww,1692.8
o-g-s,o-g-s_r_ww,p133,r,ww,0.5
o-g-s,o-g-s_r_ww,p134,r,ww,811.0
o-g-s,o-g-s_r_ww,p25,r,ww,237.0
o-g-s,o-g-s_r_ww,p28,r,ww,729.0
o-g-s,o-g-s_r_ww,p30,r,ww,260.0
o-g-s,o-g-s_r_ww,p31,r,ww,342.0
o-g-s,o-g-s_r_ww,p33,r,ww,350.0
o-g-s,o-g-s_r_ww,p34,r,ww,55.0
o-g-s,o-g-s_r_ww,p40,r,ww,140.0
o-g-s,o-g-s_r_ww,p41,r,ww,242.0
o-g-s,o-g-s_r_ww,p43,r,ww,124.1
o-g-s,o-g-s_r_ww,p45,r,ww,38.0
o-g-s,o-g-s_r_ww,p47,r,ww,295.0
o-g-s,o-g-s_r_ww,p48,r,ww,1207.0
o-g-s,o-g-s_r_ww,p50,r,ww,2983.8
o-g-s,o-g-s_r_ww,p51,r,ww,1716.0
o-g-s,o-g-s_r_ww,p52,r,ww,93.0
o-g-s,o-g-s_r_ww,p53,r,ww,568.5
o-g-s,o-g-s_r_ww,p54,r,ww,139.9
o-g-s,o-g-s_r_ww,p57,r,ww,1331.0
o-g-s,o-g-s_r_ww,p58,r,ww,5708.28
o-g-s,o-g-s_r_ww,p59,r,ww,97.0
o-g-s,o-g-s_r_ww,p63,r,ww,5406.5
o-g-s,o-g-s_r_ww,p64,r,ww,1443.2
o-g-s,o-g-s_r_ww,p65,r,ww,1989.0
o-g-s,o-g-s_r_ww,p66,r,ww,3524.499999999999
o-g-s,o-g-s_r_ww,p67,r,ww,1604.0
o-g-s,o-g-s_r_ww,p68,r,ww,18.0
o-g-s,o-g-s_r_ww,p69,r,ww,56.6
o-g-s,o-g-s_r_ww,p70,r,ww,556.8
o-g-s,o-g-s_r_ww,p72,r,ww,38.0
o-g-s,o-g-s_r_ww,p75,r,ww,78.0
o-g-s,o-g-s_r_ww,p76,r,ww,1.5
o-g-s,o-g-s_r_ww,p78,r,ww,94.0
o-g-s,o-g-s_r_ww,p79,r,ww,268.0
o-g-s,o-g-s_r_ww,p80,r,ww,1378.0
o-g-s,o-g-s_r_ww,p85,r,ww,802.4
o-g-s,o-g-s_r_ww,p87,r,ww,1511.0
o-g-s,o-g-s_r_ww,p88,r,ww,18.6
o-g-s,o-g-s_r_ww,p89,r,ww,1536.0
o-g-s,o-g-s_r_ww,p90,r,ww,242.0
o-g-s,o-g-s_r_ww,p91,r,ww,16.2
o-g-s,o-g-s_r_ww,p94,r,ww,736.3
o-g-s,o-g-s_r_ww,p95,r,ww,170.0
o-g-s,o-g-s_r_ww,p96,r,ww,348.3
o-g-s,o-g-s_r_ww,p99,r,ww,1654.6
