tech,pca,coolingwatertech,cap
CoalOldScr,p10,none,54.0
CoalOldScr,p101,none,2528.0
CoalOldScr,p103,none,130.0
CoalOldScr,p105,none,1202.0
CoalOldScr,p107,none,3151.0
CoalOldScr,p108,none,1271.0
CoalOldScr,p109,none,2279.0
CoalOldScr,p112,none,3348.0
CoalOldScr,p114,none,1344.0
CoalOldScr,p115,none,2510.0
CoalOldScr,p116,none,3892.0
CoalOldScr,p12,none,268.0
CoalOldScr,p122,none,1556.0
CoalOldScr,p126,none,463.0
CoalOldScr,p127,none,686.0
CoalOldScr,p2,none,670.0
CoalOldScr,p20,none,2129.0
CoalOldScr,p21,none,2111.0
CoalOldScr,p23,none,332.0
CoalOldScr,p24,none,1710.0
CoalOldScr,p25,none,3671.0
CoalOldScr,p26,none,458.0
CoalOldScr,p28,none,291.0
CoalOldScr,p29,none,1552.0
CoalOldScr,p31,none,1787.0
CoalOldScr,p33,none,1584.0
CoalOldScr,p34,none,100.0
CoalOldScr,p35,none,53.0
CoalOldScr,p36,none,1851.0
CoalOldScr,p37,none,1141.0
CoalOldScr,p43,none,2238.0
CoalOldScr,p50,none,320.0
CoalOldScr,p51,none,520.0
CoalOldScr,p52,none,359.0
CoalOldScr,p55,none,184.0
CoalOldScr,p57,none,1516.0
CoalOldScr,p58,none,845.0
CoalOldScr,p60,none,650.0
CoalOldScr,p63,none,5004.0
CoalOldScr,p64,none,905.0
CoalOldScr,p65,none,951.0
CoalOldScr,p67,none,610.0
CoalOldScr,p70,none,158.0
CoalOldScr,p72,none,240.0
CoalOldScr,p74,none,41.0
CoalOldScr,p81,none,170.0
CoalOldScr,p82,none,188.0
CoalOldScr,p90,none,318.0
CoalOldScr,p96,none,1140.0
CoalOldScr,p98,none,116.0
CoalOldScr,p99,none,267.4
CoalOldUns,p101,none,2819.0
CoalOldUns,p103,none,8908.5
CoalOldUns,p105,none,2877.2
CoalOldUns,p107,none,8426.0
CoalOldUns,p108,none,2126.0
CoalOldUns,p109,none,4007.0
CoalOldUns,p111,none,687.0
CoalOldUns,p112,none,8814.599999999999
CoalOldUns,p114,none,1020.0
CoalOldUns,p115,none,2265.0
CoalOldUns,p116,none,6291.0
CoalOldUns,p117,none,4199.0
CoalOldUns,p118,none,2.5
CoalOldUns,p12,none,254.0
CoalOldUns,p122,none,5484.0
CoalOldUns,p123,none,4354.0
CoalOldUns,p125,none,410.0
CoalOldUns,p127,none,305.0
CoalOldUns,p130,none,534.0
CoalOldUns,p132,none,383.0
CoalOldUns,p21,none,1938.0
CoalOldUns,p23,none,332.0
CoalOldUns,p24,none,1330.0
CoalOldUns,p25,none,1444.0
CoalOldUns,p28,none,2267.0
CoalOldUns,p31,none,2387.0
CoalOldUns,p33,none,946.0
CoalOldUns,p34,none,1076.0
CoalOldUns,p35,none,53.0
CoalOldUns,p36,none,1381.0
CoalOldUns,p38,none,474.0
CoalOldUns,p40,none,1542.0
CoalOldUns,p41,none,1305.5
CoalOldUns,p43,none,1899.5999999999997
CoalOldUns,p45,none,1848.0
CoalOldUns,p46,none,388.0
CoalOldUns,p48,none,2085.0
CoalOldUns,p50,none,1465.0
CoalOldUns,p51,none,1502.0
CoalOldUns,p53,none,4350.0
CoalOldUns,p54,none,704.8
CoalOldUns,p55,none,382.0
CoalOldUns,p56,none,528.0
CoalOldUns,p57,none,2126.0
CoalOldUns,p58,none,2212.0
CoalOldUns,p63,none,1208.0
CoalOldUns,p64,none,1180.0
CoalOldUns,p65,none,642.6
CoalOldUns,p67,none,1889.0
CoalOldUns,p69,none,245.1
CoalOldUns,p70,none,2089.2000000000003
CoalOldUns,p72,none,6256.0
CoalOldUns,p74,none,19.5
CoalOldUns,p75,none,544.0
CoalOldUns,p76,none,1115.0
CoalOldUns,p77,none,290.0
CoalOldUns,p79,none,2581.0
CoalOldUns,p80,none,1199.0
CoalOldUns,p81,none,4896.0
CoalOldUns,p82,none,2417.0
CoalOldUns,p83,none,1753.0
CoalOldUns,p84,none,1153.0
CoalOldUns,p85,none,3310.0
CoalOldUns,p87,none,1380.0
CoalOldUns,p89,none,4592.0
CoalOldUns,p9,none,17.0
CoalOldUns,p90,none,1326.0
CoalOldUns,p91,none,924.0
CoalOldUns,p92,none,6455.0
CoalOldUns,p93,none,1547.0
CoalOldUns,p94,none,9360.0
CoalOldUns,p96,none,1849.0
CoalOldUns,p97,none,5920.0
CoalOldUns,p98,none,3168.0
CoalOldUns,p99,none,1383.8000000000006
biopower,p1,none,29.1
biopower,p10,none,182.5
biopower,p101,none,213.20000000000002
biopower,p102,none,105.0
biopower,p103,none,161.3
biopower,p109,none,3.3
biopower,p111,none,7.2
biopower,p122,none,25.0
biopower,p127,none,19.0
biopower,p129,none,72.0
biopower,p130,none,142.29999999999998
biopower,p131,none,16.0
biopower,p134,none,269.8
biopower,p14,none,5.8
biopower,p15,none,5.8
biopower,p2,none,17.4
biopower,p28,none,22.2
biopower,p3,none,50.0
biopower,p43,none,228.90000000000003
biopower,p46,none,52.7
biopower,p5,none,17.5
biopower,p57,none,5.0
biopower,p58,none,10.9
biopower,p6,none,84.1
biopower,p65,none,17.5
biopower,p72,none,38.0
biopower,p74,none,17.7
biopower,p75,none,44.0
biopower,p8,none,39.0
biopower,p85,none,18.0
biopower,p9,none,425.40000000000003
biopower,p90,none,56.0
biopower,p92,none,1.8
biopower,p94,none,95.80000000000001
biopower,p96,none,124.6
biopower,p98,none,233.49999999999997
biopower,p99,none,188.0
coal-IGCC,p101,none,220.0
coal-new,p101,none,2917.0
coal-new,p102,none,330.0
coal-new,p103,none,1535.0
coal-new,p105,none,995.0
coal-new,p107,none,4335.0
coal-new,p108,none,1726.0
coal-new,p109,none,3265.0
coal-new,p111,none,136.0
coal-new,p112,none,1950.0
coal-new,p114,none,1020.0
coal-new,p115,none,1700.0
coal-new,p116,none,3767.0
coal-new,p117,none,2599.0
coal-new,p12,none,218.0
coal-new,p121,none,180.0
coal-new,p122,none,4055.0
coal-new,p123,none,3026.0
coal-new,p126,none,11.6
coal-new,p127,none,305.0
coal-new,p18,none,107.0
coal-new,p20,none,52.0
coal-new,p23,none,255.0
coal-new,p25,none,450.0
coal-new,p28,none,2151.0
coal-new,p29,none,832.0
coal-new,p31,none,847.0
coal-new,p33,none,441.0
coal-new,p34,none,660.0
coal-new,p40,none,60.0
coal-new,p41,none,664.0
coal-new,p43,none,1030.0
coal-new,p45,none,1518.0
coal-new,p53,none,2155.0
coal-new,p54,none,1828.0
coal-new,p63,none,1440.0
coal-new,p70,none,910.0
coal-new,p75,none,592.0
coal-new,p79,none,1188.0
coal-new,p80,none,10.6
coal-new,p81,none,860.0
coal-new,p82,none,346.0
coal-new,p88,none,440.0
coal-new,p89,none,1712.0
coal-new,p90,none,238.0
coal-new,p91,none,924.0
coal-new,p92,none,3340.0
coal-new,p94,none,5092.0
coal-new,p96,none,2797.0
coal-new,p97,none,5376.0
coal-new,p98,none,3168.0
coal-new,p99,none,1877.4000000000005
gas-CC,p1,none,796.9
gas-CC,p10,none,8241.800000000001
gas-CC,p101,none,14497.800000000001
gas-CC,p102,none,6859.0
gas-CC,p103,none,3154.8
gas-CC,p104,none,1064.8000000000002
gas-CC,p105,none,1115.0
gas-CC,p106,none,264.0
gas-CC,p107,none,1080.0
gas-CC,p11,none,1329.0
gas-CC,p111,none,23.4
gas-CC,p112,none,2828.0
gas-CC,p115,none,1415.0
gas-CC,p12,none,657.0
gas-CC,p122,none,6595.699999999999
gas-CC,p123,none,230.0
gas-CC,p125,none,1196.0
gas-CC,p126,none,5822.5
gas-CC,p127,none,6310.500000000001
gas-CC,p128,none,717.8
gas-CC,p13,none,4248.0
gas-CC,p130,none,1231.0
gas-CC,p131,none,5562.700000000001
gas-CC,p132,none,1982.7999999999997
gas-CC,p133,none,1780.2000000000003
gas-CC,p134,none,1254.0
gas-CC,p14,none,248.0
gas-CC,p2,none,1899.5
gas-CC,p25,none,1201.0
gas-CC,p27,none,1120.0
gas-CC,p28,none,8749.1
gas-CC,p30,none,8.3
gas-CC,p31,none,869.6
gas-CC,p33,none,2016.5
gas-CC,p34,none,460.0
gas-CC,p40,none,220.0
gas-CC,p41,none,122.6
gas-CC,p43,none,1849.2
gas-CC,p45,none,505.09999999999997
gas-CC,p47,none,562.0
gas-CC,p48,none,553.0
gas-CC,p5,none,2457.2
gas-CC,p50,none,3593.8999999999996
gas-CC,p51,none,2734.3999999999996
gas-CC,p53,none,149.0
gas-CC,p54,none,850.5
gas-CC,p55,none,495.0
gas-CC,p56,none,162.0
gas-CC,p57,none,916.6
gas-CC,p58,none,4971.099999999999
gas-CC,p59,none,367.0
gas-CC,p6,none,490.0
gas-CC,p60,none,322.0
gas-CC,p62,none,1466.0
gas-CC,p63,none,9629.099999999999
gas-CC,p64,none,5004.8
gas-CC,p65,none,5295.3
gas-CC,p66,none,2632.0999999999995
gas-CC,p67,none,6929.6
gas-CC,p68,none,330.0
gas-CC,p70,none,560.6
gas-CC,p72,none,27.8
gas-CC,p76,none,608.1
gas-CC,p78,none,697.9
gas-CC,p79,none,1443.0
gas-CC,p80,none,1344.5000000000002
gas-CC,p81,none,1032.2
gas-CC,p83,none,610.4
gas-CC,p84,none,420.0
gas-CC,p85,none,4457.5
gas-CC,p86,none,1405.5
gas-CC,p87,none,3709.3
gas-CC,p88,none,3010.0
gas-CC,p89,none,1474.0
gas-CC,p9,none,6788.000000000002
gas-CC,p90,none,7300.4000000000015
gas-CC,p91,none,740.9
gas-CC,p94,none,5487.7
gas-CC,p95,none,546.0
gas-CC,p96,none,1863.0
gas-CC,p97,none,476.8
gas-CC,p98,none,826.0
gas-CC,p99,none,3427.8
gas-CT,p1,none,670.7
gas-CT,p10,none,3593.3999999999987
gas-CT,p101,none,5518.799999999999
gas-CT,p102,none,1287.3999999999996
gas-CT,p103,none,3992.2
gas-CT,p104,none,71.8
gas-CT,p105,none,1460.9
gas-CT,p106,none,604.0
gas-CT,p107,none,1397.1000000000001
gas-CT,p108,none,58.0
gas-CT,p109,none,3214.9
gas-CT,p11,none,411.4
gas-CT,p110,none,825.0
gas-CT,p111,none,1414.6999999999998
gas-CT,p112,none,2545.300000000003
gas-CT,p113,none,780.8
gas-CT,p114,none,1309.0
gas-CT,p115,none,806.4
gas-CT,p116,none,332.29999999999995
gas-CT,p117,none,750.0
gas-CT,p118,none,335.3
gas-CT,p12,none,443.20000000000005
gas-CT,p120,none,118.29999999999998
gas-CT,p122,none,2231.999999999999
gas-CT,p123,none,2443.7
gas-CT,p124,none,389.9
gas-CT,p125,none,379.3
gas-CT,p126,none,2028.6
gas-CT,p127,none,2960.7000000000035
gas-CT,p128,none,2093.8000000000006
gas-CT,p129,none,97.89999999999999
gas-CT,p13,none,1053.0
gas-CT,p130,none,87.0
gas-CT,p131,none,850.1999999999995
gas-CT,p132,none,994.1
gas-CT,p133,none,18.2
gas-CT,p134,none,334.3
gas-CT,p14,none,132.0
gas-CT,p15,none,430.9
gas-CT,p17,none,54.0
gas-CT,p21,none,4.7
gas-CT,p22,none,15.0
gas-CT,p23,none,98.0
gas-CT,p25,none,495.0
gas-CT,p26,none,9.9
gas-CT,p27,none,90.0
gas-CT,p28,none,1567.5
gas-CT,p3,none,76.79999999999998
gas-CT,p30,none,278.3
gas-CT,p31,none,518.5
gas-CT,p32,none,112.0
gas-CT,p33,none,2090.2000000000003
gas-CT,p34,none,622.6
gas-CT,p35,none,98.5
gas-CT,p36,none,2.0
gas-CT,p37,none,55.3
gas-CT,p38,none,759.0999999999999
gas-CT,p39,none,13.6
gas-CT,p40,none,307.89999999999986
gas-CT,p41,none,1278.3000000000002
gas-CT,p42,none,63.099999999999994
gas-CT,p43,none,2086.9999999999995
gas-CT,p44,none,57.7
gas-CT,p45,none,457.7
gas-CT,p46,none,505.3000000000002
gas-CT,p47,none,293.0
gas-CT,p48,none,569.6999999999999
gas-CT,p5,none,33.8
gas-CT,p50,none,1057.1999999999998
gas-CT,p51,none,179.9
gas-CT,p52,none,201.9
gas-CT,p53,none,2796.5010000000007
gas-CT,p54,none,2046.0999999999995
gas-CT,p55,none,779.1
gas-CT,p56,none,294.0
gas-CT,p58,none,1737.6999999999998
gas-CT,p59,none,62.0
gas-CT,p6,none,100.0
gas-CT,p60,none,407.0
gas-CT,p62,none,340.0
gas-CT,p63,none,579.3000000000002
gas-CT,p64,none,475.50000000000006
gas-CT,p65,none,649.1
gas-CT,p66,none,983.5
gas-CT,p67,none,1690.0
gas-CT,p68,none,1117.3
gas-CT,p69,none,381.2999999999998
gas-CT,p70,none,1240.8999999999996
gas-CT,p71,none,78.29999999999998
gas-CT,p72,none,1404.7999999999993
gas-CT,p73,none,1.0
gas-CT,p74,none,54.4
gas-CT,p75,none,570.4
gas-CT,p76,none,703.6
gas-CT,p77,none,16.8
gas-CT,p78,none,526.1
gas-CT,p79,none,1288.3
gas-CT,p80,none,7363.4
gas-CT,p81,none,1843.7000000000007
gas-CT,p82,none,149.09999999999997
gas-CT,p83,none,1570.0999999999988
gas-CT,p84,none,234.60000000000002
gas-CT,p85,none,373.80000000000007
gas-CT,p86,none,312.0
gas-CT,p87,none,1095.1999999999994
gas-CT,p88,none,293.2
gas-CT,p89,none,1122.8000000000004
gas-CT,p9,none,2867.4999999999973
gas-CT,p90,none,1067.0
gas-CT,p91,none,126.0
gas-CT,p92,none,3796.0000000000027
gas-CT,p93,none,604.6
gas-CT,p94,none,8653.401999999998
gas-CT,p95,none,2041.0999999999995
gas-CT,p96,none,1191.4
gas-CT,p97,none,3264.9999999999986
gas-CT,p98,none,2099.7
gas-CT,p99,none,3880.999999999998
geothermal,p10,none,840.0
geothermal,p12,none,295.6
geothermal,p16,none,10.0
geothermal,p25,none,34.0
geothermal,p8,none,2.2
geothermal,p9,none,954.1
lfill-gas,p1,none,5.399999999999999
lfill-gas,p10,none,195.29999999999993
lfill-gas,p101,none,223.7
lfill-gas,p102,none,186.5
lfill-gas,p103,none,168.89999999999992
lfill-gas,p104,none,4.6
lfill-gas,p105,none,32.000000000000014
lfill-gas,p106,none,5.0
lfill-gas,p107,none,5.6
lfill-gas,p109,none,15.200000000000005
lfill-gas,p11,none,19.0
lfill-gas,p111,none,32.19999999999999
lfill-gas,p112,none,4.800000000000001
lfill-gas,p115,none,4.8
lfill-gas,p120,none,14.400000000000013
lfill-gas,p122,none,367.00000000000034
lfill-gas,p123,none,129.9
lfill-gas,p125,none,7.0
lfill-gas,p126,none,207.40000000000012
lfill-gas,p127,none,227.50000000000037
lfill-gas,p128,none,121.7
lfill-gas,p129,none,1.6
lfill-gas,p130,none,29.6
lfill-gas,p131,none,254.00000000000003
lfill-gas,p132,none,165.10000000000002
lfill-gas,p133,none,6.0
lfill-gas,p134,none,41.4
lfill-gas,p15,none,3.0
lfill-gas,p2,none,10.5
lfill-gas,p25,none,9.799999999999999
lfill-gas,p3,none,22.8
lfill-gas,p31,none,3.4
lfill-gas,p33,none,3.2
lfill-gas,p41,none,6.3999999999999995
lfill-gas,p43,none,101.79999999999997
lfill-gas,p45,none,4.8
lfill-gas,p46,none,7.3999999999999995
lfill-gas,p5,none,31.400000000000013
lfill-gas,p55,none,3.0
lfill-gas,p6,none,3.0
lfill-gas,p63,none,20.200000000000003
lfill-gas,p64,none,10.000000000000002
lfill-gas,p65,none,18.0
lfill-gas,p66,none,3.4
lfill-gas,p67,none,16.999999999999996
lfill-gas,p68,none,18.0
lfill-gas,p70,none,6.3999999999999995
lfill-gas,p72,none,4.7
lfill-gas,p75,none,6.3999999999999995
lfill-gas,p76,none,10.9
lfill-gas,p78,none,7.0
lfill-gas,p79,none,33.00000000000001
lfill-gas,p80,none,59.79999999999997
lfill-gas,p81,none,2.4000000000000004
lfill-gas,p82,none,2.4000000000000004
lfill-gas,p83,none,6.4
lfill-gas,p85,none,4.8
lfill-gas,p9,none,78.49999999999997
lfill-gas,p91,none,14.800000000000004
lfill-gas,p92,none,3.2
lfill-gas,p94,none,13.600000000000001
lfill-gas,p95,none,6.0
lfill-gas,p96,none,19.100000000000005
lfill-gas,p97,none,13.7
lfill-gas,p98,none,3.599999999999999
lfill-gas,p99,none,273.000000000003
nuclear,p102,none,3572.0
nuclear,p103,none,1141.0
nuclear,p104,none,2852.5
nuclear,p111,none,2134.0
nuclear,p115,none,1808.0
nuclear,p122,none,7229.6
nuclear,p123,none,1707.8
nuclear,p126,none,3518.2
nuclear,p127,none,5399.4
nuclear,p130,none,1250.9
nuclear,p132,none,2087.8
nuclear,p2,none,1180.0
nuclear,p28,none,3937.0
nuclear,p41,none,771.5
nuclear,p43,none,1657.0
nuclear,p53,none,1175.0
nuclear,p58,none,2132.9
nuclear,p63,none,2400.0
nuclear,p65,none,2560.0
nuclear,p70,none,601.4
nuclear,p72,none,1190.0
nuclear,p75,none,1196.0
nuclear,p80,none,8703.3
nuclear,p81,none,1819.0
nuclear,p83,none,1065.0
nuclear,p85,none,1817.8
nuclear,p87,none,1401.0
nuclear,p89,none,3803.5
nuclear,p9,none,2240.0
nuclear,p90,none,1757.0
nuclear,p92,none,3400.7
nuclear,p94,none,4061.0
nuclear,p95,none,4864.2
nuclear,p96,none,1712.0
nuclear,p97,none,2315.6
nuclear,p98,none,2802.0
nuclear,p99,none,3568.0
o-g-s,p10,none,3079.3999999999996
o-g-s,p101,none,3342.0
o-g-s,p102,none,2462.0
o-g-s,p103,none,1942.0
o-g-s,p105,none,14.0
o-g-s,p106,none,634.2
o-g-s,p108,none,65.0
o-g-s,p110,none,260.0
o-g-s,p114,none,111.0
o-g-s,p118,none,460.0
o-g-s,p12,none,334.0
o-g-s,p122,none,4520.9
o-g-s,p123,none,1939.0
o-g-s,p125,none,813.0
o-g-s,p126,none,150.0
o-g-s,p127,none,9052.16
o-g-s,p128,none,2347.0
o-g-s,p130,none,400.0
o-g-s,p131,none,1830.6
o-g-s,p132,none,1687.2
o-g-s,p133,none,4.0
o-g-s,p134,none,905.3
o-g-s,p14,none,22.5
o-g-s,p21,none,330.0
o-g-s,p25,none,237.0
o-g-s,p28,none,949.0
o-g-s,p30,none,422.0
o-g-s,p31,none,390.0
o-g-s,p33,none,392.0
o-g-s,p34,none,55.0
o-g-s,p40,none,246.3
o-g-s,p41,none,241.6
o-g-s,p43,none,100.6
o-g-s,p45,none,38.0
o-g-s,p46,none,23.0
o-g-s,p47,none,295.0
o-g-s,p48,none,1314.0
o-g-s,p50,none,3004.0
o-g-s,p51,none,3170.0
o-g-s,p52,none,96.0
o-g-s,p53,none,1274.5
o-g-s,p54,none,320.1
o-g-s,p55,none,571.0
o-g-s,p57,none,1404.0
o-g-s,p58,none,6508.08
o-g-s,p59,none,252.0
o-g-s,p63,none,5411.0
o-g-s,p64,none,1443.1
o-g-s,p65,none,2091.0
o-g-s,p66,none,3729.2999999999993
o-g-s,p67,none,2356.0
o-g-s,p68,none,18.0
o-g-s,p69,none,37.0
o-g-s,p70,none,352.4
o-g-s,p72,none,261.0
o-g-s,p75,none,80.0
o-g-s,p76,none,0.7
o-g-s,p78,none,102.0
o-g-s,p79,none,240.0
o-g-s,p80,none,1409.7999999999997
o-g-s,p85,none,776.0
o-g-s,p87,none,3100.9999999999995
o-g-s,p88,none,18.6
o-g-s,p89,none,1528.0
o-g-s,p90,none,130.0
o-g-s,p91,none,16.2
o-g-s,p94,none,714.0
o-g-s,p95,none,170.0
o-g-s,p96,none,350.6
o-g-s,p99,none,2187.1
