County,State,resource_region,pca
Mcintosh,Oklahoma,158,p50
Okfuskee,Oklahoma,158,p50
Pittsburg,Oklahoma,158,p50
Pontotoc,Oklahoma,158,p50
Pushmataha,Oklahoma,158,p50
Seminole,Oklahoma,158,p50
Sequoyah,Oklahoma,158,p50
Adair,Oklahoma,157,p51
Cherokee,Oklahoma,157,p51
Craig,Oklahoma,157,p51
Creek,Oklahoma,157,p51
Delaware,Oklahoma,157,p51
Mayes,Oklahoma,157,p51
Muskogee,Oklahoma,157,p51
Nowata,Oklahoma,157,p51
Okmulgee,Oklahoma,157,p51
Osage,Oklahoma,157,p51
Ottawa,Oklahoma,157,p51
Rogers,Oklahoma,157,p51
Tulsa,Oklahoma,157,p51
Wagoner,Oklahoma,157,p51
Washington,Oklahoma,157,p51
Cheyenne,Kansas,135,p52
Decatur,Kansas,135,p52
Finney,Kansas,135,p52
Gove,Kansas,135,p52
Graham,Kansas,135,p52
Grant,Kansas,135,p52
Greeley,Kansas,135,p52
Hamilton,Kansas,135,p52
Kearny,Kansas,135,p52
Lane,Kansas,135,p52
Logan,Kansas,135,p52
Morton,Kansas,135,p52
Norton,Kansas,135,p52
Rawlins,Kansas,135,p52
Scott,Kansas,135,p52
Sheridan,Kansas,135,p52
Sherman,Kansas,135,p52
Stanton,Kansas,135,p52
Stevens,Kansas,135,p52
Thomas,Kansas,135,p52
Trego,Kansas,135,p52
Wallace,Kansas,135,p52
Wichita,Kansas,135,p52
Barber,Kansas,136,p53
Barton,Kansas,136,p53
Clark,Kansas,136,p53
Comanche,Kansas,136,p53
Edwards,Kansas,136,p53
Ford,Kansas,136,p53
Gray,Kansas,136,p53
Haskell,Kansas,136,p53
Hodgeman,Kansas,136,p53
Kiowa,Kansas,136,p53
Meade,Kansas,136,p53
Ness,Kansas,136,p53
Pawnee,Kansas,136,p53
Pratt,Kansas,136,p53
Rush,Kansas,136,p53
Seward,Kansas,136,p53
Stafford,Kansas,136,p53
Cloud,Kansas,137,p53
Ellis,Kansas,137,p53
Jewell,Kansas,137,p53
Lincoln,Kansas,137,p53
Mitchell,Kansas,137,p53
Osborne,Kansas,137,p53
Ottawa,Kansas,137,p53
Phillips,Kansas,137,p53
Republic,Kansas,137,p53
Rooks,Kansas,137,p53
Russell,Kansas,137,p53
Smith,Kansas,137,p53
Washington,Kansas,137,p53
Dickinson,Kansas,138,p53
Ellsworth,Kansas,138,p53
Harvey,Kansas,138,p53
Marion,Kansas,138,p53
Mcpherson,Kansas,138,p53
Reno,Kansas,138,p53
Rice,Kansas,138,p53
Saline,Kansas,138,p53
Butler,Kansas,139,p53
Harper,Kansas,139,p53
Kingman,Kansas,139,p53
Sedgwick,Kansas,139,p53
Sumner,Kansas,139,p53
Clay,Kansas,140,p53
Douglas,Kansas,140,p53
Franklin,Kansas,140,p53
Jackson,Kansas,140,p53
Marshall,Kansas,140,p53
Nemaha,Kansas,140,p53
Osage,Kansas,140,p53
Pottawatomie,Kansas,140,p53
Riley,Kansas,140,p53
Shawnee,Kansas,140,p53
Wabaunsee,Kansas,140,p53
Chase,Kansas,141,p53
Chautauqua,Kansas,141,p53
Cowley,Kansas,141,p53
Elk,Kansas,141,p53
Geary,Kansas,141,p53
Greenwood,Kansas,141,p53
Lyon,Kansas,141,p53
Morris,Kansas,141,p53
Atchison,Kansas,142,p53
Brown,Kansas,142,p53
Doniphan,Kansas,142,p53
Jefferson,Kansas,142,p53
Johnson,Kansas,142,p53
Leavenworth,Kansas,142,p53
Miami,Kansas,142,p53
Wyandotte,Kansas,142,p53
Allen,Kansas,143,p53
Anderson,Kansas,143,p53
Bourbon,Kansas,143,p53
Cherokee,Kansas,143,p53
Coffey,Kansas,143,p53
Crawford,Kansas,143,p53
Labette,Kansas,143,p53
Linn,Kansas,143,p53
Montgomery,Kansas,143,p53
Neosho,Kansas,143,p53
Wilson,Kansas,143,p53
Woodson,Kansas,143,p53
Andrew,Missouri,144,p54
Atchison,Missouri,144,p54
Buchanan,Missouri,144,p54
Caldwell,Missouri,144,p54
Carroll,Missouri,144,p54
Chariton,Missouri,144,p54
Clinton,Missouri,144,p54
Daviess,Missouri,144,p54
Dekalb,Missouri,144,p54
Gentry,Missouri,144,p54
Grundy,Missouri,144,p54
Harrison,Missouri,144,p54
Holt,Missouri,144,p54
Johnson,Missouri,144,p54
Lafayette,Missouri,144,p54
Linn,Missouri,144,p54
Livingston,Missouri,144,p54
Mercer,Missouri,144,p54
Nodaway,Missouri,144,p54
Pettis,Missouri,144,p54
Putnam,Missouri,144,p54
Ray,Missouri,144,p54
Saline,Missouri,144,p54
Sullivan,Missouri,144,p54
Worth,Missouri,144,p54
Cass,Missouri,145,p54
Clay,Missouri,145,p54
Jackson,Missouri,145,p54
Platte,Missouri,145,p54
Bates,Missouri,146,p55
Benton,Missouri,146,p55
Cedar,Missouri,146,p55
Henry,Missouri,146,p55
Hickory,Missouri,146,p55
St. Clair,Missouri,146,p55
Saint Clair,Missouri,146,p55
Vernon,Missouri,146,p55
Barry,Missouri,147,p55
Barton,Missouri,147,p55
Christian,Missouri,147,p55
Dade,Missouri,147,p55
Douglas,Missouri,147,p55
Greene,Missouri,147,p55
Jasper,Missouri,147,p55
Lawrence,Missouri,147,p55
Mcdonald,Missouri,147,p55
Newton,Missouri,147,p55
Ozark,Missouri,147,p55
Polk,Missouri,147,p55
Stone,Missouri,147,p55
Taney,Missouri,147,p55
Webster,Missouri,147,p55
Benton,Arkansas,159,p56
Washington,Arkansas,159,p56
Boone,Arkansas,160,p56
Carroll,Arkansas,160,p56
Cleburne,Arkansas,160,p56
Crawford,Arkansas,160,p56
Franklin,Arkansas,160,p56
Howard,Arkansas,160,p56
Johnson,Arkansas,160,p56
Logan,Arkansas,160,p56
Madison,Arkansas,160,p56
Marion,Arkansas,160,p56
Montgomery,Arkansas,160,p56
Newton,Arkansas,160,p56
Pike,Arkansas,160,p56
Polk,Arkansas,160,p56
Scott,Arkansas,160,p56
Searcy,Arkansas,160,p56
Sebastian,Arkansas,160,p56
Van Buren,Arkansas,160,p56
Bowie,Texas,151,p57
Camp,Texas,151,p57
Cass,Texas,151,p57
Gregg,Texas,151,p57
Harrison,Texas,151,p57
Marion,Texas,151,p57
Morris,Texas,151,p57
Panola,Texas,151,p57
Titus,Texas,151,p57
Upshur,Texas,151,p57
Bossier,Louisiana,161,p58
Bossier Parish,Louisiana,161,p58
Caddo,Louisiana,161,p58
Caddo Parish,Louisiana,161,p58
Acadia,Louisiana,162,p58
Acadia Parish,Louisiana,162,p58
Allen,Louisiana,162,p58
Allen Parish,Louisiana,162,p58
Avoyelles,Louisiana,162,p58
Avoyelles Parish,Louisiana,162,p58
Beauregard,Louisiana,162,p58
Beauregard Parish,Louisiana,162,p58
Bienville,Louisiana,162,p58
Bienville Parish,Louisiana,162,p58
Calcasieu,Louisiana,162,p58
Calcasieu Parish,Louisiana,162,p58
Caldwell,Louisiana,162,p58
Caldwell Parish,Louisiana,162,p58
Cameron,Louisiana,162,p58
Cameron Parish,Louisiana,162,p58
Catahoula,Louisiana,162,p58
Catahoula Parish,Louisiana,162,p58
Concordia,Louisiana,162,p58
Concordia Parish,Louisiana,162,p58
De Soto,Louisiana,162,p58
De Soto Parish,Louisiana,162,p58
Evangeline,Louisiana,162,p58
Evangeline Parish,Louisiana,162,p58
Grant,Louisiana,162,p58
Grant Parish,Louisiana,162,p58
Jackson,Louisiana,162,p58
Jackson Parish,Louisiana,162,p58
Jefferson Davis,Louisiana,162,p58
Jefferson Davis Parish,Louisiana,162,p58
La Salle,Louisiana,162,p58
La Salle Parish,Louisiana,162,p58
Lafayette,Louisiana,162,p58
Lafayette Parish,Louisiana,162,p58
Natchitoches,Louisiana,162,p58
Natchitoches Parish,Louisiana,162,p58
Rapides,Louisiana,162,p58
Rapides Parish,Louisiana,162,p58
Red River,Louisiana,162,p58
Red River Parish,Louisiana,162,p58
Sabine,Louisiana,162,p58
Sabine Parish,Louisiana,162,p58
St. Landry,Louisiana,162,p58
St. Landry Parish,Louisiana,162,p58
Saint Landry,Louisiana,162,p58
Saint Landry Parish,Louisiana,162,p58
Vermilion,Louisiana,162,p58
Vermilion Parish,Louisiana,162,p58
Vernon,Louisiana,162,p58
Vernon Parish,Louisiana,162,p58
Webster,Louisiana,162,p58
Webster Parish,Louisiana,162,p58
Winn,Louisiana,162,p58
Winn Parish,Louisiana,162,p58
Ascension,Louisiana,261,p58
Ascension Parish,Louisiana,261,p58
Assumption,Louisiana,261,p58
Assumption Parish,Louisiana,261,p58
East Baton Rouge,Louisiana,261,p58
East Baton Rouge Parish,Louisiana,261,p58
East Feliciana,Louisiana,261,p58
East Feliciana Parish,Louisiana,261,p58
Iberia,Louisiana,261,p58
Iberia Parish,Louisiana,261,p58
Iberville,Louisiana,261,p58
Iberville Parish,Louisiana,261,p58
Jefferson,Louisiana,261,p58
Jefferson Parish,Louisiana,261,p58
Lafourche,Louisiana,261,p58
Lafourche Parish,Louisiana,261,p58
Livingston,Louisiana,261,p58
Livingston Parish,Louisiana,261,p58
Orleans,Louisiana,261,p58
Orleans Parish,Louisiana,261,p58
Plaquemines,Louisiana,261,p58
Plaquemines Parish,Louisiana,261,p58
Pointe Coupee,Louisiana,261,p58
Pointe Coupee Parish,Louisiana,261,p58
St. Bernard,Louisiana,261,p58
St. Bernard Parish,Louisiana,261,p58
Saint Bernard,Louisiana,261,p58
Saint Bernard Parish,Louisiana,261,p58
St. Charles,Louisiana,261,p58
St. Charles Parish,Louisiana,261,p58
Saint Charles,Louisiana,261,p58
Saint Charles Parish,Louisiana,261,p58
St. Helena,Louisiana,261,p58
St. Helena Parish,Louisiana,261,p58
Saint Helena,Louisiana,261,p58
Saint Helena Parish,Louisiana,261,p58
St. James,Louisiana,261,p58
St. James Parish,Louisiana,261,p58
Saint James,Louisiana,261,p58
Saint James Parish,Louisiana,261,p58
St. John The Baptist,Louisiana,261,p58
St. John The Baptist Parish,Louisiana,261,p58
Saint John The Baptist,Louisiana,261,p58
Saint John The Baptist Parish,Louisiana,261,p58
St. Martin,Louisiana,261,p58
St. Martin Parish,Louisiana,261,p58
Saint Martin,Louisiana,261,p58
Saint Martin Parish,Louisiana,261,p58
St. Mary,Louisiana,261,p58
St. Mary Parish,Louisiana,261,p58
Saint Mary,Louisiana,261,p58
Saint Mary Parish,Louisiana,261,p58
St. Tammany,Louisiana,261,p58
St. Tammany Parish,Louisiana,261,p58
Saint Tammany,Louisiana,261,p58
Saint Tammany Parish,Louisiana,261,p58
Tangipahoa,Louisiana,261,p58
Tangipahoa Parish,Louisiana,261,p58
Terrebonne,Louisiana,261,p58
Terrebonne Parish,Louisiana,261,p58
Washington,Louisiana,261,p58
Washington Parish,Louisiana,261,p58
West Baton Rouge,Louisiana,261,p58
West Baton Rouge Parish,Louisiana,261,p58
West Feliciana,Louisiana,261,p58
West Feliciana Parish,Louisiana,261,p58
El Paso,Texas,94,p59
Baylor,Texas,165,p60
Borden,Texas,165,p60
Briscoe,Texas,165,p60
Childress,Texas,165,p60
Cottle,Texas,165,p60
Crosby,Texas,165,p60
Dawson,Texas,165,p60
Dickens,Texas,165,p60
Fisher,Texas,165,p60
Foard,Texas,165,p60
Hall,Texas,165,p60
Hardeman,Texas,165,p60
Haskell,Texas,165,p60
Howard,Texas,165,p60
Jones,Texas,165,p60
Kent,Texas,165,p60
King,Texas,165,p60
Knox,Texas,165,p60
Mitchell,Texas,165,p60
Motley,Texas,165,p60
Nolan,Texas,165,p60
Scurry,Texas,165,p60
Stonewall,Texas,165,p60
Wilbarger,Texas,165,p60
Brewster,Texas,163,p61
Culberson,Texas,163,p61
Hudspeth,Texas,163,p61
Jeff Davis,Texas,163,p61
Pecos,Texas,163,p61
Presidio,Texas,163,p61
Reeves,Texas,163,p61
Terrell,Texas,163,p61
Callahan,Texas,166,p61
Coke,Texas,166,p61
Coleman,Texas,166,p61
Concho,Texas,166,p61
Crockett,Texas,166,p61
Irion,Texas,166,p61
Kinney,Texas,166,p61
Runnels,Texas,166,p61
Schleicher,Texas,166,p61
Sterling,Texas,166,p61
Sutton,Texas,166,p61
Taylor,Texas,166,p61
Tom Green,Texas,166,p61
Val Verde,Texas,166,p61
Andrews,Texas,164,p62
Crane,Texas,164,p62
Ector,Texas,164,p62
Glasscock,Texas,164,p62
Loving,Texas,164,p62
Martin,Texas,164,p62
Midland,Texas,164,p62
Reagan,Texas,164,p62
Upton,Texas,164,p62
Ward,Texas,164,p62
Winkler,Texas,164,p62
Archer,Texas,167,p63
Brown,Texas,167,p63
Clay,Texas,167,p63
Comanche,Texas,167,p63
Eastland,Texas,167,p63
Erath,Texas,167,p63
Jack,Texas,167,p63
Montague,Texas,167,p63
Palo Pinto,Texas,167,p63
Shackelford,Texas,167,p63
Stephens,Texas,167,p63
Throckmorton,Texas,167,p63
Wichita,Texas,167,p63
Young,Texas,167,p63
Collin,Texas,168,p63
Cooke,Texas,168,p63
Dallas,Texas,168,p63
Denton,Texas,168,p63
Ellis,Texas,168,p63
Fannin,Texas,168,p63
Grayson,Texas,168,p63
Hood,Texas,168,p63
Hunt,Texas,168,p63
Johnson,Texas,168,p63
Kaufman,Texas,168,p63
Parker,Texas,168,p63
Rockwall,Texas,168,p63
Somervell,Texas,168,p63
Tarrant,Texas,168,p63
Wise,Texas,168,p63
Bell,Texas,169,p63
Bosque,Texas,169,p63
Coryell,Texas,169,p63
Falls,Texas,169,p63
Freestone,Texas,169,p63
Hamilton,Texas,169,p63
Hill,Texas,169,p63
Lampasas,Texas,169,p63
Leon,Texas,169,p63
Limestone,Texas,169,p63
Madison,Texas,169,p63
Mcculloch,Texas,169,p63
Mclennan,Texas,169,p63
Milam,Texas,169,p63
Mills,Texas,169,p63
Navarro,Texas,169,p63
Robertson,Texas,169,p63
San Saba,Texas,169,p63
Austin,Texas,171,p64
Bandera,Texas,171,p64
Bastrop,Texas,171,p64
Blanco,Texas,171,p64
Brazos,Texas,171,p64
Burleson,Texas,171,p64
Burnet,Texas,171,p64
Caldwell,Texas,171,p64
Colorado,Texas,171,p64
Comal,Texas,171,p64
Dewitt,Texas,171,p64
Edwards,Texas,171,p64
Fayette,Texas,171,p64
Gillespie,Texas,171,p64
Gonzales,Texas,171,p64
Grimes,Texas,171,p64
Guadalupe,Texas,171,p64
Hays,Texas,171,p64
Kendall,Texas,171,p64
Kerr,Texas,171,p64
Kimble,Texas,171,p64
Lavaca,Texas,171,p64
Lee,Texas,171,p64
Llano,Texas,171,p64
Mason,Texas,171,p64
Menard,Texas,171,p64
Real,Texas,171,p64
Travis,Texas,171,p64
Walker,Texas,171,p64
Waller,Texas,171,p64
Washington,Texas,171,p64
Williamson,Texas,171,p64
Atascosa,Texas,172,p65
Bee,Texas,172,p65
Brooks,Texas,172,p65
Dimmit,Texas,172,p65
Duval,Texas,172,p65
Frio,Texas,172,p65
Goliad,Texas,172,p65
Hidalgo,Texas,172,p65
Jim Hogg,Texas,172,p65
Jim Wells,Texas,172,p65
Karnes,Texas,172,p65
La Salle,Texas,172,p65
Live Oak,Texas,172,p65
Maverick,Texas,172,p65
Mcmullen,Texas,172,p65
Medina,Texas,172,p65
Starr,Texas,172,p65
Uvalde,Texas,172,p65
Webb,Texas,172,p65
Wilson,Texas,172,p65
Zapata,Texas,172,p65
Zavala,Texas,172,p65
Bexar,Texas,173,p65
Aransas,Texas,174,p65
Calhoun,Texas,174,p65
Cameron,Texas,174,p65
Jackson,Texas,174,p65
Kenedy,Texas,174,p65
Kleberg,Texas,174,p65
Matagorda,Texas,174,p65
Nueces,Texas,174,p65
Refugio,Texas,174,p65
San Patricio,Texas,174,p65
Victoria,Texas,174,p65
Wharton,Texas,174,p65
Willacy,Texas,174,p65
Anderson,Texas,170,p63
Angelina,Texas,170,p63
Cherokee,Texas,170,p63
Delta,Texas,170,p63
Franklin,Texas,170,p63
Henderson,Texas,170,p63
Hopkins,Texas,170,p63
Houston,Texas,170,p63
Lamar,Texas,170,p63
Rains,Texas,170,p63
Red River,Texas,170,p63
Rusk,Texas,170,p63
Smith,Texas,170,p63
Van Zandt,Texas,170,p63
Wood,Texas,170,p63
Chambers,Texas,256,p66
Hardin,Texas,256,p66
Jasper,Texas,256,p66
Jefferson,Texas,256,p66
Liberty,Texas,256,p66
Montgomery,Texas,256,p66
Nacogdoches,Texas,256,p66
Newton,Texas,256,p66
Orange,Texas,256,p66
Polk,Texas,256,p66
Sabine,Texas,256,p66
San Augustine,Texas,256,p66
San Jacinto,Texas,256,p66
Shelby,Texas,256,p66
Trinity,Texas,256,p66
Tyler,Texas,256,p66
Brazoria,Texas,175,p67
Fort Bend,Texas,175,p67
Galveston,Texas,175,p67
Harris,Texas,175,p67
Blue Earth,Minnesota,176,p68
Brown,Minnesota,176,p68
Cottonwood,Minnesota,176,p68
Faribault,Minnesota,176,p68
Fillmore,Minnesota,176,p68
Freeborn,Minnesota,176,p68
Houston,Minnesota,176,p68
Jackson,Minnesota,176,p68
Martin,Minnesota,176,p68
Mower,Minnesota,176,p68
Nicollet,Minnesota,176,p68
Waseca,Minnesota,176,p68
Watonwan,Minnesota,176,p68
Black Hawk,Iowa,133,p69
Bremer,Iowa,133,p69
Buchanan,Iowa,133,p69
Butler,Iowa,133,p69
Floyd,Iowa,133,p69
Grundy,Iowa,133,p69
Allamakee,Iowa,177,p69
Chickasaw,Iowa,177,p69
Clayton,Iowa,177,p69
Fayette,Iowa,177,p69
Howard,Iowa,177,p69
Mitchell,Iowa,177,p69
Winneshiek,Iowa,177,p69
Benton,Iowa,178,p70
Hamilton,Iowa,178,p70
Hardin,Iowa,178,p70
Iowa,Iowa,178,p70
Jasper,Iowa,178,p70
Keokuk,Iowa,178,p70
Marshall,Iowa,178,p70
Poweshiek,Iowa,178,p70
Story,Iowa,178,p70
Tama,Iowa,178,p70
Dallas,Iowa,179,p70
Madison,Iowa,179,p70
Mahaska,Iowa,179,p70
Marion,Iowa,179,p70
Polk,Iowa,179,p70
Warren,Iowa,179,p70
Adair,Iowa,180,p70
Adams,Iowa,180,p70
Boone,Iowa,180,p70
Cass,Iowa,180,p70
Clarke,Iowa,180,p70
Decatur,Iowa,180,p70
Greene,Iowa,180,p70
Guthrie,Iowa,180,p70
Lucas,Iowa,180,p70
Ringgold,Iowa,180,p70
Union,Iowa,180,p70
Wayne,Iowa,180,p70
Appanoose,Iowa,181,p70
Davis,Iowa,181,p70
Henry,Iowa,181,p70
Jefferson,Iowa,181,p70
Monroe,Iowa,181,p70
Van Buren,Iowa,181,p70
Wapello,Iowa,181,p70
Delaware,Iowa,182,p70
Johnson,Iowa,182,p70
Linn,Iowa,182,p70
Washington,Iowa,182,p70
Cedar,Iowa,183,p70
Clinton,Iowa,183,p70
Des Moines,Iowa,183,p70
Dubuque,Iowa,183,p70
Jackson,Iowa,183,p70
Jones,Iowa,183,p70
Lee,Iowa,183,p70
Louisa,Iowa,183,p70
Muscatine,Iowa,183,p70
Scott,Iowa,183,p70
Adair,Missouri,184,p71
Clark,Missouri,184,p71
Knox,Missouri,184,p71
Lewis,Missouri,184,p71
Macon,Missouri,184,p71
Marion,Missouri,184,p71
Monroe,Missouri,184,p71
Ralls,Missouri,184,p71
Schuyler,Missouri,184,p71
Scotland,Missouri,184,p71
Shelby,Missouri,184,p71
Audrain,Missouri,185,p72
Boone,Missouri,185,p72
Callaway,Missouri,185,p72
Cole,Missouri,185,p72
Cooper,Missouri,185,p72
Franklin,Missouri,185,p72
Gasconade,Missouri,185,p72
Howard,Missouri,185,p72
Lincoln,Missouri,185,p72
Maries,Missouri,185,p72
Miller,Missouri,185,p72
Moniteau,Missouri,185,p72
Montgomery,Missouri,185,p72
Morgan,Missouri,185,p72
Osage,Missouri,185,p72
Pike,Missouri,185,p72
Randolph,Missouri,185,p72
Warren,Missouri,185,p72
St. Charles,Missouri,189,p72
Saint Charles,Missouri,189,p72
St. Louis,Missouri,189,p72
Saint Louis,Missouri,189,p72
St. Louis City,Missouri,189,p72
Saint Louis City,Missouri,189,p72
Cape Girardeau,Missouri,190,p72
Jefferson,Missouri,190,p72
Mississippi,Missouri,190,p72
Perry,Missouri,190,p72
Scott,Missouri,190,p72
St. Francois,Missouri,190,p72
Saint Francois,Missouri,190,p72
Ste. Genevieve,Missouri,190,p72
Sainte Genevieve,Missouri,190,p72
Bollinger,Missouri,186,p73
Crawford,Missouri,186,p73
Iron,Missouri,186,p73
Madison,Missouri,186,p73
Phelps,Missouri,186,p73
Pulaski,Missouri,186,p73
Reynolds,Missouri,186,p73
Washington,Missouri,186,p73
Alger,Michigan,191,p74
Baraga,Michigan,191,p74
Delta,Michigan,191,p74
Dickinson,Michigan,191,p74
Gogebic,Michigan,191,p74
Houghton,Michigan,191,p74
Iron,Michigan,191,p74
Keweenaw,Michigan,191,p74
Marquette,Michigan,191,p74
Menominee,Michigan,191,p74
Ontonagon,Michigan,191,p74
Florence,Wisconsin,192,p75
Forest,Wisconsin,192,p75
Langlade,Wisconsin,192,p75
Lincoln,Wisconsin,192,p75
Marathon,Wisconsin,192,p75
Marinette,Wisconsin,192,p75
Oconto,Wisconsin,192,p75
Oneida,Wisconsin,192,p75
Portage,Wisconsin,192,p75
Vilas,Wisconsin,192,p75
Brown,Wisconsin,197,p75
Door,Wisconsin,197,p75
Kewaunee,Wisconsin,197,p75
Manitowoc,Wisconsin,197,p75
Adams,Wisconsin,193,p76
Columbia,Wisconsin,193,p76
Dodge,Wisconsin,193,p76
Fond Du Lac,Wisconsin,193,p76
Green Lake,Wisconsin,193,p76
Juneau,Wisconsin,193,p76
Marquette,Wisconsin,193,p76
Menominee,Wisconsin,193,p76
Shawano,Wisconsin,193,p76
Waupaca,Wisconsin,193,p76
Waushara,Wisconsin,193,p76
Wood,Wisconsin,193,p76
Calumet,Wisconsin,196,p76
Outagamie,Wisconsin,196,p76
Winnebago,Wisconsin,196,p76
Crawford,Wisconsin,194,p77
Grant,Wisconsin,194,p77
Iowa,Wisconsin,194,p77
Jackson,Wisconsin,194,p77
Lafayette,Wisconsin,194,p77
Monroe,Wisconsin,194,p77
Richland,Wisconsin,194,p77
Sauk,Wisconsin,194,p77
Vernon,Wisconsin,194,p77
Dane,Wisconsin,195,p78
Green,Wisconsin,195,p78
Rock,Wisconsin,195,p78
Jefferson,Wisconsin,198,p79
Kenosha,Wisconsin,198,p79
Milwaukee,Wisconsin,198,p79
Ozaukee,Wisconsin,198,p79
Racine,Wisconsin,198,p79
Sheboygan,Wisconsin,198,p79
Walworth,Wisconsin,198,p79
Washington,Wisconsin,198,p79
Waukesha,Wisconsin,198,p79
Boone,Illinois,199,p80
Carroll,Illinois,199,p80
Dekalb,Illinois,199,p80
Jo Daviess,Illinois,199,p80
Lee,Illinois,199,p80
Ogle,Illinois,199,p80
Stephenson,Illinois,199,p80
Whiteside,Illinois,199,p80
Winnebago,Illinois,199,p80
Cook,Illinois,206,p80
Dupage,Illinois,206,p80
Kane,Illinois,206,p80
Lake,Illinois,206,p80
Mchenry,Illinois,206,p80
Will,Illinois,206,p80
Grundy,Illinois,207,p80
Kankakee,Illinois,207,p80
Kendall,Illinois,207,p80
La Salle,Illinois,207,p80
Livingston,Illinois,207,p80
Bureau,Illinois,200,p81
Henderson,Illinois,200,p81
Henry,Illinois,200,p81
Knox,Illinois,200,p81
Mercer,Illinois,200,p81
Putnam,Illinois,200,p81
Rock Island,Illinois,200,p81
Stark,Illinois,200,p81
Warren,Illinois,200,p81
Adams,Illinois,201,p81
Pike,Illinois,201,p81
Brown,Illinois,202,p81
Calhoun,Illinois,202,p81
Cass,Illinois,202,p81
Fulton,Illinois,202,p81
Greene,Illinois,202,p81
Hancock,Illinois,202,p81
Jersey,Illinois,202,p81
Macoupin,Illinois,202,p81
Mason,Illinois,202,p81
Mcdonough,Illinois,202,p81
Menard,Illinois,202,p81
Morgan,Illinois,202,p81
Schuyler,Illinois,202,p81
Scott,Illinois,202,p81
Madison,Illinois,204,p81
Monroe,Illinois,204,p81
St. Clair,Illinois,204,p81
Saint Clair,Illinois,204,p81
Alexander,Illinois,205,p81
Bond,Illinois,205,p81
Clinton,Illinois,205,p81
Fayette,Illinois,205,p81
Franklin,Illinois,205,p81
Gallatin,Illinois,205,p81
Hamilton,Illinois,205,p81
Hardin,Illinois,205,p81
Jackson,Illinois,205,p81
Jefferson,Illinois,205,p81
Johnson,Illinois,205,p81
Marion,Illinois,205,p81
Massac,Illinois,205,p81
Montgomery,Illinois,205,p81
Perry,Illinois,205,p81
Pope,Illinois,205,p81
Pulaski,Illinois,205,p81
Randolph,Illinois,205,p81
Saline,Illinois,205,p81
Union,Illinois,205,p81
Washington,Illinois,205,p81
Wayne,Illinois,205,p81
White,Illinois,205,p81
Williamson,Illinois,205,p81
Logan,Illinois,203,p82
Marshall,Illinois,203,p82
Peoria,Illinois,203,p82
Sangamon,Illinois,203,p82
Tazewell,Illinois,203,p82
Woodford,Illinois,203,p82
De Witt,Illinois,208,p83
Macon,Illinois,208,p83
Mclean,Illinois,208,p83
Piatt,Illinois,208,p83
Champaign,Illinois,209,p83
Edgar,Illinois,209,p83
Ford,Illinois,209,p83
Iroquois,Illinois,209,p83
Vermilion,Illinois,209,p83
Christian,Illinois,210,p83
Clark,Illinois,210,p83
Clay,Illinois,210,p83
Coles,Illinois,210,p83
Crawford,Illinois,210,p83
Cumberland,Illinois,210,p83
Douglas,Illinois,210,p83
Edwards,Illinois,210,p83
Effingham,Illinois,210,p83
Jasper,Illinois,210,p83
Lawrence,Illinois,210,p83
Moultrie,Illinois,210,p83
Richland,Illinois,210,p83
Shelby,Illinois,210,p83
Wabash,Illinois,210,p83
Camden,Missouri,187,p84
Carter,Missouri,187,p84
Dallas,Missouri,187,p84
Dent,Missouri,187,p84
Howell,Missouri,187,p84
Laclede,Missouri,187,p84
Oregon,Missouri,187,p84
Ripley,Missouri,187,p84
Shannon,Missouri,187,p84
